Date 	Day	Month	Year	Quarter	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 	Quarter22
17-09-2024 00:00	Tuesday	September	2024	Q3	EQ	3668	3705	3659.7	3662.25	3686	3695.2	3684.21	3919.9	2846.05	1289060	4749171728	116988	3
16-09-2024 00:00	Monday	September	2024	Q3	EQ	3619.15	3670	3613	3613	3657.85	3662.25	3651.58	3919.9	2846.05	1045964	3819418658	73047	3
13-09-2024 00:00	Friday	September	2024	Q3	EQ	3622	3634.75	3600.05	3622	3608.35	3613	3611.45	3919.9	2846.05	1752455	6328901570	100344	3
12-09-2024 00:00	Thursday	September	2024	Q3	EQ	3558	3638.05	3534	3536.95	3620.05	3622	3579.25	3919.9	2846.05	3751523	13427637792	189229	3
11-09-2024 00:00	Wednesday	September	2024	Q3	EQ	3595	3603.95	3516.4	3596.15	3540	3536.95	3561.46	3919.9	2846.05	1865165	6642707258	126237	3
10-09-2024 00:00	Tuesday	September	2024	Q3	EQ	3585	3625	3571	3578.3	3600	3596.15	3598.83	3919.9	2846.05	1203483	4331129795	93770	3
09-09-2024 00:00	Monday	September	2024	Q3	EQ	3584	3594	3553.85	3574.75	3576	3578.3	3577.27	3919.9	2846.05	1454589	5203451218	116687	3
06-09-2024 00:00	Friday	September	2024	Q3	EQ	3615.1	3623.8	3536.2	3624.15	3572.9	3574.75	3568.94	3919.9	2705	3096557	11051417113	202312	3
05-09-2024 00:00	Thursday	September	2024	Q3	EQ	3668	3668	3608.4	3650.8	3625	3624.15	3626.07	3919.9	2705	2958770	10728699384	172903	3
04-09-2024 00:00	Wednesday	September	2024	Q3	EQ	3650	3681	3631.1	3690.15	3654	3650.8	3646.74	3919.9	2705	1930121	7038650189	124315	3
03-09-2024 00:00	Tuesday	September	2024	Q3	EQ	3693.95	3713.95	3666.9	3683.1	3686.3	3690.15	3690.76	3919.9	2705	1211993	4473174177	93945	3
02-09-2024 00:00	Monday	September	2024	Q3	EQ	3706	3721.95	3666.35	3704.65	3677.8	3683.1	3689.2	3919.9	2705	1277813	4714112303	115019	3
30-08-2024 00:00	Friday	August	2024	Q3	EQ	3718.35	3745	3666.4	3683.45	3707	3704.65	3700.93	3919.9	2650.05	2592912	9596196231	133375	3
29-08-2024 00:00	Thursday	August	2024	Q3	EQ	3690.5	3710	3651.55	3689.05	3690	3683.45	3684.34	3919.9	2650.05	2165489	7978391207	132112	3
28-08-2024 00:00	Wednesday	August	2024	Q3	EQ	3705	3724.4	3685	3702.7	3690	3689.05	3700.41	3919.9	2650.05	1278175	4729767635	82201	3
27-08-2024 00:00	Tuesday	August	2024	Q3	EQ	3642.65	3737	3636	3641.9	3700.1	3702.7	3706.72	3919.9	2650.05	3315435	12289383661	131931	3
26-08-2024 00:00	Monday	August	2024	Q3	EQ	3611	3648	3594.7	3598.55	3638	3641.9	3628.56	3919.9	2650.05	1606911	5830777896	73397	3
23-08-2024 00:00	Friday	August	2024	Q3	EQ	3606.5	3622	3587.05	3606.5	3598.25	3598.55	3602.56	3919.9	2623.45	1825180	6575312026	79918	3
22-08-2024 00:00	Thursday	August	2024	Q3	EQ	3607.05	3612.15	3583.95	3596.05	3602.3	3606.5	3603.84	3919.9	2623.45	1734927	6252403569	84632	3
21-08-2024 00:00	Wednesday	August	2024	Q3	EQ	3590	3615.3	3581.9	3572.7	3593.75	3596.05	3599.68	3919.9	2623.45	1714248	6170748516	74473	3
20-08-2024 00:00	Tuesday	August	2024	Q3	EQ	3562	3580	3548	3555.05	3579	3572.7	3568.41	3919.9	2623.45	1285569	4587442114	78801	3
19-08-2024 00:00	Monday	August	2024	Q3	EQ	3599.85	3599.9	3547	3568.35	3558.1	3555.05	3561.38	3919.9	2623.45	1898535	6761408510	98035	3
16-08-2024 00:00	Friday	August	2024	Q3	EQ	3578	3580.9	3533	3545.2	3569	3568.35	3561.97	3919.9	2616	2808865	10005082527	149879	3
14-08-2024 00:00	Wednesday	August	2024	Q3	EQ	3558.95	3578.7	3536.5	3551.8	3540.05	3545.2	3556.86	3919.9	2616	1584372	5635385431	86539	3
13-08-2024 00:00	Tuesday	August	2024	Q3	EQ	3580	3607	3545.2	3571.95	3551	3551.8	3573.19	3919.9	2616	1316218	4703098658	85677	3
12-08-2024 00:00	Monday	August	2024	Q3	EQ	3579	3611	3563	3592.05	3573	3571.95	3584.31	3919.9	2616	1965035	7043299073	121950	3
09-08-2024 00:00	Friday	August	2024	Q3	EQ	3600	3605.55	3575.7	3553.55	3594	3592.05	3591.14	3919.9	2615.25	848232	3046121443	83218	3
08-08-2024 00:00	Thursday	August	2024	Q3	EQ	3621	3628.75	3547.45	3638.25	3558	3553.55	3574.92	3919.9	2615.25	2038088	7286005509	149101	3
07-08-2024 00:00	Wednesday	August	2024	Q3	EQ	3630	3655.75	3610.35	3576.2	3641.2	3638.25	3634.09	3919.9	2615.25	1613097	5862138962	93561	3
06-08-2024 00:00	Tuesday	August	2024	Q3	EQ	3548	3634.9	3546	3528	3588	3576.2	3598.72	3919.9	2615.25	2125532	7649192776	122533	3
05-08-2024 00:00	Monday	August	2024	Q3	EQ	3597	3607.9	3511.5	3665.7	3530	3528	3547.86	3919.9	2615.25	2900685	10291225585	195790	3
02-08-2024 00:00	Friday	August	2024	Q3	EQ	3730.35	3748.9	3657.1	3779.3	3657.9	3665.7	3688.92	3919.9	2586.3	2512525	9268499168	180833	3
01-08-2024 00:00	Thursday	August	2024	Q3	EQ	3810	3838.95	3765.85	3815	3770	3779.3	3795.42	3919.9	2586.3	1998663	7585756152	113449	3
31-07-2024 00:00	Wednesday	July	2024	Q3	EQ	3777.05	3822	3763.1	3784.65	3815	3815	3798.06	3919.9	2586.3	2703636	10268559319	133518	3
30-07-2024 00:00	Tuesday	July	2024	Q3	EQ	3774.85	3795	3738.6	3774.95	3778.25	3784.65	3783.19	3919.9	2586.3	1979989	7490670960	111800	3
29-07-2024 00:00	Monday	July	2024	Q3	EQ	3701	3790	3686.6	3679.9	3775	3774.95	3760.82	3919.9	2586.3	4159919	15644694864	162580	3
